<document LANG='eng'>	XMLCODE	NULL		0				Z99	NULL	04:10	
<FRONT>	XMLCODE	NULL		0				Z99	NULL	04:10	
<P>	XMLCODE	NULL		0				Z99	NULL	04:10	
<P>	XMLCODE	NULL		0				Z99	NULL	04:10	
Stonehenge	stonehenge	NP1		0				Z2	04:01:02	ZA02	
Situated	situate	VVN	A2:2	0	01:11:01:07:01 01:12:04:01	AK:01:g:01 AL:04:a	situate	M6	01:12:04:05-04	AL:04:e	
in	in	II	B5-	1:2:1	01:12:05:06:01	AL:05:f	M	altogether	01:15:02:01-01	AO:02	
the	the	AT	B5-	1:2:2	01:12:05:06:01	AL:05:f	M	altogether	01:15:02:01-01	AO:02	
midst	midst	NN1	N4 T1:2	0	01:12:05:06:01	AL:05:f	M	M6	01:15:02:01-01	AO:02	
of	of	IO		0	01:12:05:06:01	AL:05:f	M	Z5	01:15:02:01-01	AO:02	
the	the	AT		0			Grammatical	Z5	04:03	ZC	
Plains	plain	NN2		0	01:01:10:03 01:01:04:04:03-03	AA:10:c AA:03:g		W3	02:01:12:08-03:04	AR:38	
,	PUNC	YCOM		0				PUNC	NULL	NULL	
6	6	MC	T1:2 T3	0			Number	N1	01:16:04	AP:04	
Miles	mile	NNU2	N3:3+ N3:7	0	01:16:05:01-10:17:02 01:06:13:09:02:07-10:01	AP:05:a AF:20:g	mile	N3:3	01:16:05:01-10:17	AP:05:a	
distant	distant	JJ	S1:2:1- X5:1-	0	01:13:02-02 03:01:01-03	AM:02 AY:01	distant/remote	N3:3+	01:12:01:01	AL:01:a	
from	from	II		0			Grammatical	Z5	04:03	ZC	
the	the	AT		0			Grammatical	Z5	04:03	ZC	
City	city	NN1	Z3fn	2:3:1	04:01:03	ZA03		Z2	04:01:02	ZA02	
of	of	IO	Z3fn	2:3:2			Grammatical	Z2	04:03	ZC	
Satisbury	satisbury	NP1	Z3fn	2:3:3	04:01:03	ZA03		Z2	04:01:02	ZA02	
,	PUNC	YCOM		0				PUNC	NULL	NULL	
is	be	VBZ		0	01:16:01:04 04:03	AP:01:d ZC	Grammatical	Z5	01:11:01:07	AK:01:g	
esteemed	esteem	VVN		0	01:16:05-16 02:01:13:03-01	AP:05 AR:45:e	Esteem	S7:2+	02:02:09	AS:12	
one	one	MC1	T1:2 T3	0			Number	N1	01:16:04	AP:04	
of	of	IO		0			Grammatical	Z5	04:03	ZC	
the	the	AT		0			Grammatical	Z5	04:03	ZC	
wonders	wonder	NN2		0	02:01:14:08:01 02:01:14:08-04	AR:51 AR:51		A5:1+	02:01:14:08	AR:51	
of	of	IO		0			Grammatical	Z5	04:03	ZC	
England	england	NP1		0				Z2	04:01:02	ZA02	
:	PUNC	YSTP		0				PUNC	NULL	NULL	
It	it	PPH1		0				Z8	04:06	ZF	
is	be	VBZ	Z5	0	01:16:01:04 04:03	AP:01:d ZC	Grammatical	A3+	01:11:01:07	AK:01:g	
a	a	AT1		0			Grammatical	Z5	04:03	ZC	
great	great	JJ	A11:1+ N3:2+	0	02:02:08-06 02:03:01:06	AS:10 AT:04	Large	A5:1+	01:12:02:04:01	AL:02:d:01	
huddle	huddle	NN1		0	01:12:05:25:01-03 01:12:05:25:04:01-15:01	AL:05:v:01 AL:05:v	old/churlish	S5+c	02:06:10:02-03:01	AW:09	
of	of	IO		0			Grammatical	Z5	04:03	ZC	
large	large	JJ	N5+ A11:1+	0	01:16:06:03	AP:06:a	Large	N3:2+	01:12:02:04:01	AL:02:d:01	
